Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
Apply Low Grade ;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KEY;;;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SC- Sleep Canes;;;;H1- Harrow 1;;;;;;;CC- Cross Canal ;;;;;;;;;;
Canal Excavation;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R- Raking Canes;;;;H2- Harrow 2;;;;;;;MW- Middle Walk;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LG- Apply Low Grade;;;;ID- Internal Drains;;;;;;;SL- Sideline;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P- Ploughing;;;;FF- Four Foot;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 22 (103.8 Ha.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
April;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fld;Ha;Total Tonnes;SC;R;LG;P;;H1;H2;ID;FF;CC;MW;SL;;;;;;;
Activities;;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;;15;5,7;0,0;C;C;0;C;;C;C;IP;C;C;C;C;;C;Complete;;;;
Sleep Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;6,7;0,0;C;C;0;C;;C;C;;C;C;C;C;;IP;In Progress;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;6,6;0,0;C;C;0;C;;C;C;;C;C;C;C;;;;;;;
;Ha. Todate;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;18;4,5;0,0;C;C;0;C;;C;C;;;C;C;C;;;;;;;
Rake Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;2,2;0,0;C;C;0;C;;C;C;C;C;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;3,5;0,0;C;C;0;C;;IP;;;;C;C;C;;;;;;;
;Ha. Todate;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;21;3,4;0,0;C;C;0;C;;C;C;;;C;C;C;;;;;;;
Clean Canals;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;3,8;0,0;C;C;0;C;;C;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;3,8;9,6;C;C;C;C;;;;;;C;C;C;;;;;;;
;Ha. Todate;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;24;3,8;7,6;C;C;C;IP;;;;;;C;C;C;;;;;;;
Grub Sideline;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Todate;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;;27;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
Plough;Ha. Day;0;0;0,6;2,8;0;0;0;0;0;1,4;2,4;1,8;2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;28;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;0;0;0,6;3,4;3,4;3,4;3,4;0;0;1,4;3,8;5,6;7,7;7,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;29;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
